0,89
0,66
0,19
1,34
1,8
1,46
1,56
1,28
2,96
2,10
2,83
2,45
3,99
3,62
4,18
4,59
4,44
5,33
5,26
6,70
6,95
7,16
7,97
7,59
8,1
8,61
8,46
9,18
9,43
9,22
9,47
10,74
10,58
10,2
10,90
11,40
11,95
11,70
11,55
12,26
12,76
12,74
13,50
13,51
13,85
13,38
14,81
14,92
15,16
15,84
16,65
16,7
16,75
16,15
16,84
17,33
17,23
18,9
18,4
18,97
18,47
19,0
19,89
19,76
19,47
20,32
20,82
20,23
21,24
21,42
21,52
22,9
22,26
22,43
23,32
23,33
23,17
23,20
23,62
24,42
24,21
25,78
25,36
25,86
26,5
26,12
26,76
26,22
26,87
27,41
27,29
27,94
28,88
28,1
28,67
29,27
29,94
30,72
30,54
30,71
31,64
31,52
31,61
32,20
32,23
33,96
33,5
33,39
33,17
33,23
33,93
34,1
34,45
35,49
35,41
35,93
35,79
36,25
36,37
37,36
37,46
38,60
38,13
39,33
39,94
40,91
40,11
40,63
41,35
41,27
41,54
42,24
42,67
42,68
42,21
43,9
43,22
43,47
44,48
44,4
44,87
45,2
45,34
45,83
45,56
45,58
45,60
46,8
46,1
46,58
46,37
47,97
47,9
47,43
47,18
47,19
48,59
48,84
48,93
48,44
49,35
49,63
50,68
50,13
51,85
51,13
51,92
52,80
52,21
52,77
52,31
53,88
53,73
54,41
54,69
54,30
54,94
55,91
55,11
55,69
56,1
56,45
58,10
58,45
58,46
58,78
58,86
59,48
59,4
59,84
59,7
60,45
60,38
61,8
61,80
61,31
62,72
62,82
62,3
62,23
63,40
63,49
63,91
64,31
65,16
66,0
66,98
67,42
67,28
68,81
68,42
68,50
68,77
69,91
69,71
69,54
69,55
70,11
70,6
71,69
71,30
72,62
72,30
73,53
74,10
74,76
74,12
75,16
75,97
76,90
76,74
76,12
76,19
76,26
77,68
77,52
78,25
78,58
79,35
79,95
80,52
80,61
81,68
81,14
82,20
82,62
82,92
83,2
83,45
84,48
84,16
84,59
84,15
85,51
85,92
85,13
86,25
86,58
87,26
87,44
87,93
88,28
88,53
89,0
89,98
89,19
90,98
90,10
90,76
91,40
91,55
91,69
91,63
92,99
92,14
92,82
92,51
92,85
93,48
93,33
93,35
93,87
94,27
94,29
94,54
94,39
95,11
95,6
95,79
96,33
96,2
97,18
97,75
97,7
97,47
98,89
98,66
98,90
99,3
99,92
