0,32
0,35
0,6
0,15
1,2
1,12
2,1
2,12
2,20
3,16
3,43
3,6
3,31
4,9
4,34
5,35
5,41
5,16
5,25
5,30
5,31
6,32
6,0
6,3
6,14
6,47
6,24
7,36
7,38
8,47
9,43
9,4
9,37
9,22
10,17
10,25
11,40
11,43
11,46
12,40
12,1
12,2
12,18
13,43
13,46
14,24
14,6
14,39
15,0
15,35
16,3
16,31
16,5
16,23
17,10
17,36
17,30
18,19
18,12
18,45
19,33
19,45
19,18
19,20
19,26
20,33
20,2
20,19
20,28
21,34
21,36
21,23
22,48
22,9
23,16
23,44
23,21
23,36
24,14
24,6
25,10
25,5
25,30
26,48
26,34
26,19
27,49
27,42
27,46
28,33
28,20
28,38
29,49
29,47
30,17
30,5
30,25
31,16
31,3
31,5
32,0
32,35
32,6
33,19
33,28
33,20
34,26
34,4
34,21
34,38
35,32
35,0
35,5
35,15
36,17
36,23
36,21
36,7
37,9
37,43
37,45
38,34
38,28
38,7
39,41
39,14
40,43
40,11
40,12
40,46
41,5
41,39
42,49
42,27
42,46
43,3
43,37
43,40
43,9
43,11
43,13
44,23
45,18
45,19
45,37
46,40
46,42
46,11
46,13
46,27
47,8
47,49
47,29
47,6
48,26
48,22
49,42
49,27
49,29
49,47
