1,3
29,3
10,3
3,28
14,1
10,2
29,1
28,2
2,23
10,28
13,2
13,17
14,19
13,39
32,19
40,13
23,17
14,32
39,17
29,41
29,31
39,23
49,23
31,41
53,31
40,39
40,52
40,54
53,41
68,46
65,46
49,53
49,54
68,50
53,70
54,52
70,50
74,54
54,66
65,58
66,52
58,80
68,58
68,70
74,66
65,82
76,74
76,77
78,80
77,106
78,94
82,80
76,91
96,78
76,95
82,94
80,94
95,91
96,104
116,93
124,93
114,94
104,94
96,110
107,95
120,96
120,106
104,115
120,107
115,110
107,121
114,115
120,110
119,115
120,119
124,121
128,121
116,124
120,128
124,128
